uuid;Country;user_location;latitude;longitude
0d49c499-91a0-46e1-9b52-d409ec3b9fa0;185;(12.433439540294023, -69.88715076222113);12.433439540294025;-69.88715076222113
0cb2a2d4-4eaf-4d23-9ad0-daaa7f8a82d4;185;(12.481383031923333, -69.93378214719603);12.481383031923333;-69.93378214719603
fadc2c04-b518-473e-b88d-8ef5f4e02600;185;(12.450810461954292, -69.9105702983434);12.450810461954292;-69.9105702983434
b64c347c-87b3-4f6b-81d6-5ba5f4a9832e;185;(12.540698628900419, -70.03428458074234);12.54069862890042;-70.03428458074234
76a62f54-8947-488f-820b-c821ea0d1c92;185;(12.552702071563688, -70.05701371984274);12.552702071563688;-70.05701371984274
729ca3da-56e8-4ae6-a048-286c69390b6e;185;(12.566696102090557, -70.02028882432201);12.566696102090557;-70.02028882432201
9d39f3ba-2722-4996-b1ff-862ca05984f3;185;(12.463163165311173, -69.95166668365138);12.463163165311173;-69.95166668365138
b98703f5-ad68-46f6-8313-6ae36dcf6996;185;(12.592094062716235, -70.02944206716428);12.592094062716235;-70.02944206716428
626ed867-38f6-4be8-beaa-ddea028ed4e1;185;(12.553484449854526, -69.97511969429821);12.553484449854526;-69.97511969429821
67fdc1ef-6bdc-4f2d-b960-2d3cd82bf427;185;(12.482603938271074, -69.97132217546914);12.482603938271074;-69.97132217546914
0ec868c8-4e5f-4a10-8542-47a68af040d5;185;(12.499688314443347, -69.98435705996458);12.499688314443349;-69.98435705996458
ff5997e7-26f3-4215-97c3-32d5470f74dd;185;(12.509862681690384, -69.97352047401134);12.509862681690384;-69.97352047401134
38e04f43-3be4-44e5-b90a-e515c2f4811c;185;(12.57085664385522, -69.99800076560174);12.57085664385522;-69.99800076560174
fe7f7987-908c-4fdb-a717-573439bdc105;185;(12.514314710710174, -69.99848305657132);12.514314710710174;-69.99848305657132
d0415068-a0c1-45a6-b621-dd810a80d045;185;(12.458702395548535, -69.89363931381995);12.458702395548537;-69.89363931381995
483d7151-06a4-4687-872e-7bac95434d12;185;(12.50319968925215, -69.97680828612818);12.50319968925215;-69.97680828612818
3e4ed510-799b-4dbe-93b3-cd1bec9892f4;185;(12.4857336262207, -69.91074909079512);12.4857336262207;-69.91074909079512
79428c40-82f6-4fff-925b-0503dd287f8b;185;(12.548077682994084, -69.99597221594414);12.548077682994084;-69.99597221594414
29d6f204-2618-4fe4-9819-9025af97c7d9;185;(12.561958971449501, -70.0365012496687);12.5619589714495;-70.0365012496687
5c0904a8-60fa-4ce4-9982-4806b7c3fdec;185;(12.51302629104698, -70.00376163523077);12.51302629104698;-70.00376163523077
8d9abd9d-e13d-4452-8a23-d02cd7e562de;185;(12.583153016664646, -70.02465838361552);12.583153016664646;-70.02465838361552
1ff487a0-1c69-4023-a551-25b508e95514;185;(12.558780063730524, -70.04922575090761);12.558780063730524;-70.04922575090761
cccf6ecd-f9ca-4e70-af30-daeee713a686;185;(12.605594093642342, -70.03225361104504);12.605594093642342;-70.03225361104504
1628f5b1-44db-4048-aae9-1197719c7800;185;(12.492177106264988, -69.9474258841322);12.492177106264988;-69.9474258841322
83722e90-cfe1-49cd-acb7-686bf7701300;185;(12.450953358370407, -69.9301270153583);12.450953358370407;-69.9301270153583
5646ced3-4d6a-46fe-89b4-b471d98ba08b;185;(12.550845200229844, -70.03195652067494);12.550845200229844;-70.03195652067494
befa32ec-913b-46e3-b624-8a0a7224df5f;185;(12.50717690415399, -69.98849487642426);12.50717690415399;-69.98849487642426
5eb4d322-6d43-44dd-b7f4-1f2cdff9334a;185;(12.555969212137486, -70.01893611531492);12.555969212137486;-70.01893611531492
b242f0bd-a309-4027-bc1a-a28d4417604e;185;(12.5174572622027, -69.99714505832534);12.5174572622027;-69.99714505832534
409359d8-0313-415b-988b-778d42209528;185;(12.424766203162442, -69.88880800719554);12.424766203162442;-69.88880800719554
872671dd-e8f3-4534-9076-ecf4ba5321ef;185;(12.492463360510088, -69.9596553628822);12.492463360510088;-69.9596553628822
af4ff419-f33e-4c89-91da-6e7344159794;185;(12.61366859633541, -70.04565750729701);12.61366859633541;-70.04565750729701
db2f71d3-78a3-4dd7-af7b-0a319430ce5a;185;(12.5368822201107, -70.0370482515272);12.5368822201107;-70.0370482515272
b7529508-68e3-4632-b1b8-cd627a8c224b;185;(12.518588268779325, -69.94255073935774);12.518588268779324;-69.94255073935774
b3b0a7af-f0c2-4329-a186-2dadc8e4d46d;185;(12.48661868480118, -69.97839094671195);12.48661868480118;-69.97839094671195
f1d2956d-15f3-4548-b2a5-4cddf1a4d577;185;(12.523206372015572, -69.9959574457194);12.523206372015572;-69.9959574457194
47d4737b-2159-48bb-8c2e-f6e8af6786e5;185;(12.52337514723772, -69.970769632937);12.52337514723772;-69.970769632937
a6edb7cd-62f6-4020-8db5-b8f6b8b46aa0;185;(12.509387434392432, -69.97192586341761);12.509387434392432;-69.97192586341761
d8ad90dc-7e25-4bff-b523-3e5daed10efd;185;(12.489006039885082, -69.94902278246589);12.489006039885082;-69.94902278246589
e23eaa85-61bb-47a8-9bca-efe391b745c5;185;(12.512966587571386, -69.94740975708578);12.512966587571386;-69.94740975708578
105d4aa1-341a-42dd-9da5-53bb5645280c;182;(36.766671377929725, 67.24220311698575);36.766671377929725;67.24220311698575
be686105-3dbe-4a9b-acce-9c193523bb1b;182;(36.58976726032349, 66.1076103261296);36.58976726032349;66.1076103261296
ce246201-1685-4a0a-9ebb-ecb6da1199e2;182;(35.52265017726278, 63.408115080360005);35.52265017726278;63.408115080360005
5f1112d8-a634-4ae2-b73f-455da05e5fac;182;(35.77183569526568, 63.53072621057594);35.77183569526568;63.53072621057594
3638e211-7da5-48b7-8339-0777ca6d2f43;182;(31.935066234991147, 62.578154493020755);31.935066234991147;62.57815449302076
ec23dd02-42a3-407b-8a6f-c48a3738989d;182;(30.41331939089646, 63.32287920716438);30.41331939089646;63.32287920716438
4d44b4b4-068d-412d-8440-991cd12caf8c;182;(38.003585768762804, 70.61955431543365);38.0035857687628;70.61955431543365
41928e78-4c21-41f7-952e-b51cb087346a;182;(32.59271262382402, 60.96865179768409);32.59271262382402;60.96865179768409
b67bec33-9c12-4770-b648-f48f62bce6cf;182;(30.397521107555043, 61.991336397569604);30.397521107555043;61.9913363975696
bef35678-3ad8-4ab5-b4d6-170aa9d5e190;182;(32.72795880189969, 62.83802910919717);32.72795880189969;62.83802910919717
adfad378-a11a-4570-8728-8052006be473;182;(34.94302069922952, 66.78679204667502);34.94302069922952;66.78679204667502
a50cc7e7-a6f0-4693-94fe-a54aa7465233;182;(36.60547302955386, 64.73461855301605);36.60547302955386;64.73461855301605
3f4794df-df28-4535-9288-5e3589fe9213;182;(35.479778767692686, 71.55892292719163);35.479778767692686;71.55892292719163
2daf4985-7cbf-4be9-87a9-4f386f9b254b;182;(32.82215068380893, 61.117437326820024);32.82215068380893;61.11743732682002
c2d44289-e056-45f8-b06c-3b9300d73595;182;(35.030426257322354, 61.94968011006257);35.030426257322354;61.94968011006257
60ee648c-079a-49c3-a4e8-31884c836646;182;(31.2803218556731, 66.81449792877717);31.2803218556731;66.81449792877717
38dbee04-f98b-45fc-90f2-1683563944a3;182;(37.12014029488887, 66.64771450323322);37.12014029488887;66.64771450323322
9c165f20-6d73-4aec-b47e-ae248d64e4a0;182;(32.820677413405036, 66.83942392577498);32.82067741340504;66.83942392577498
5fc11402-f3ba-414b-a205-ee23001e083e;182;(35.37431880450268, 68.23768237996346);35.37431880450268;68.23768237996346
f376962e-6d1b-41e1-b328-85ee5d06a10b;182;(32.254595498796526, 63.91153501872189);32.254595498796526;63.91153501872189
e154c2c0-0b46-4798-9a02-12c55d61c5ff;182;(31.398167392754036, 64.68444985347202);31.39816739275404;64.68444985347202
5b98bb45-3f1f-4e20-82d3-060b4b459b8f;182;(32.47595360907142, 62.632104872988684);32.47595360907142;62.63210487298869
ef20f512-43be-4e77-96c4-4d2b96ede3d8;182;(30.26955273671014, 63.056990446312724);30.26955273671014;63.05699044631272
a364b671-7c1e-426c-a04e-04e0a13dbe07;182;(31.930726008770517, 68.07437887259555);31.93072600877052;68.07437887259555
14d6cfe4-85c1-4368-b225-3f643c7856db;182;(35.477004612920254, 70.94550940203118);35.477004612920254;70.94550940203118
3cb0a0b7-20ff-4933-a635-78dd5e28e115;182;(30.37604101640849, 66.26715788284594);30.37604101640849;66.26715788284594
fdb1541a-b4a5-4c9d-809d-27157610e0b5;182;(35.25170079820185, 63.32570346870683);35.25170079820185;63.32570346870683
78d95c4f-3133-4bcd-8fa6-de08857fc5ce;182;(35.89046070720531, 66.73031368280348);35.89046070720531;66.73031368280348
3e39b675-dab7-48d8-a277-db91e1fceea8;182;(33.64477276341566, 64.14414782674866);33.64477276341566;64.14414782674866
a38d5e64-3bb2-4463-9322-85a1d4c79a52;182;(32.37493046163858, 68.07073529420015);32.37493046163858;68.07073529420015
e5e778d6-7862-49d4-858c-e3889c04c5e0;182;(31.26922289649056, 65.35176307079922);31.26922289649056;65.35176307079922
062f0d42-92ae-4917-99a5-896f49211510;182;(36.27697954877505, 64.63128458036243);36.27697954877505;64.63128458036243
2f540e32-27b3-419b-82d2-4c8bf6d2dc7b;182;(29.605486961340358, 64.98990383787985);29.60548696134036;64.98990383787985
d70acb65-d344-40ff-9c90-9051a79201af;182;(30.847876094430077, 63.92579592480799);30.84787609443008;63.92579592480799
8015ca94-c9aa-4176-ae1e-4b3f6e190130;182;(32.15311376517184, 68.52142483403284);32.15311376517184;68.52142483403284
